position,name,age,team,attack,def,overall,price,value
Forward,Payet,33,Team Goalkeeper,81,30,55,21.2M,8.5M
Forward,Jiménez,29,Wolverhampton Wanderers,83,13,48,17.9M,11.1M
Forward,Ighalo,31,Team Scout,79,7,43,17.5M,7.0M
Forward,Vardy,33,Leicester City,84,7,45,17.4M,10.9M
Forward,Belotti,26,Torino,82,19,50,17.4M,10.7M
Forward,Lennon,33,Team Spy,79,24,51,16.8M,6.8M
Forward,Germain,30,Team Spy,77,15,46,15.8M,6.3M
Forward,Ibisevic,36,Team Interviewer,78,16,47,14.2M,5.7M
Forward,Vela,31,Los Angeles FC,80,30,55,13.4M,8.1M
Forward,Suso,26,Sevilla,79,24,51,13.1M,7.8M
Forward,Lopez A.,32,Team Agent,75,11,43,12.6M,5.1M
Forward,Rony Lopes,24,Nice,76,43,59,11.4M,6.6M
Forward,Dyer,32,Team Agent,72,31,51,9.6M,3.9M
Forward,Bendtner,32,Team Doctor,74,18,46,8.8M,4.7M
Forward,Aduriz,39,Team Analyst,70,14,42,5.7M,2.2M
Forward,Smith M.,31,Team Security,68,9,38,5.6M,2.3M
Forward,João,27,Reading,71,11,41,5.4M,3.6M
Midfielder,Jorginho,28,Chelsea,83,88,85,21.5M,12.6M
Midfielder,Zielinski,26,Napoli,82,82,82,15.5M,9.7M
Midfielder,Fellaini,32,Shandong Luneng Taishan,81,82,81,15.0M,8.7M
Midfielder,Praet,26,Leicester City,78,80,79,12.4M,7.3M
Midfielder,Camarasa,26,Team Scout,72,74,73,10.2M,4.1M
Midfielder,Medunjanin,35,Team Analyst,72,72,72,7.5M,2.9M
Midfielder,Emanuelson,34,Team Midfielder,69,71,70,6.1M,2.5M
Midfielder,Batanero,31,Team Scout,70,68,69,5.8M,2.3M
Midfielder,Inan S.,35,Team Midfielder,70,68,69,5.1M,2.1M
Midfielder,Kaya,34,Team Interviewer,69,66,67,3.7M,1.5M
Defender,Ansaldi,33,Team Scout,34,80,57,13.8M,5.5M
Defender,Gayà,25,Valencia,29,82,55,13.0M,7.7M
Defender,Chiellini,36,Juventus,12,84,48,10.3M,6.7M
Defender,Keane,27,Everton,9,80,44,9.5M,5.5M
Defender,Daniels,34,Team Midfielder,27,76,51,9.5M,3.8M
Defender,Francis,35,Team Lawyer,37,74,55,8.5M,3.4M
Defender,E. Stevens,30,Sheffield United,36,77,56,8.2M,4.8M
Defender,Holebas,36,Team Lawyer,35,74,54,8.1M,3.3M
Defender,Granqvist,35,Team Interviewer,13,75,44,7.7M,3.1M
Defender,Neustadter,32,Team Analyst,16,73,44,7.2M,2.8M
Defender,Fai,28,Team Spy,38,70,54,7.1M,2.9M
Defender,Dante,36,Team Lawyer,16,72,44,5.7M,2.3M
Defender,Ziegler,34,Team Spy,16,71,43,5.4M,2.2M
Defender,Cortez,33,Grêmio,40,71,55,4.4M,2.9M
Defender,te Wierik,28,Team Lawyer,6,67,36,3.6M,1.5M
Goalkeeper,Patrício,32,Wolverhampton Wanderers,0,85,42,10.4M,6.7M
Goalkeeper,Fahrmann,31,Team Goalkeeper,0,78,39,9.1M,3.7M
Goalkeeper,Neuer,34,Bayern Munchen,0,84,42,8.8M,5.6M
Goalkeeper,Pickford,26,Everton,0,81,40,8.7M,5.3M
Goalkeeper,E. Andrada,29,Team Security,0,76,38,7.4M,3.0M
Goalkeeper,Vaclík,31,Sevilla,0,80,40,7.0M,4.5M
Goalkeeper,Oukidja,32,Team Security,0,76,38,6.9M,2.8M
Goalkeeper,Julio Cesar,34,Team Analyst,0,75,37,5.6M,2.2M
Goalkeeper,Mandanda,35,Team Interviewer,0,75,37,5.5M,2.2M
Goalkeeper,Sinitsyn,32,Team Goalkeeper,0,71,35,4.1M,1.7M
Goalkeeper,Wang Dalei,31,Team Goalkeeper,0,69,34,3.7M,1.5M
Goalkeeper,Hahn,28,Team Doctor,0,68,34,3.5M,1.4M
Goalkeeper,Steppe,31,Team Midfielder,0,68,34,3.4M,1.4M
Goalkeeper,Gomes H.,39,Team Security,0,70,35,3.1M,1.3M
Goalkeeper,Khune,33,Kaizer Chiefs,0,68,34,1.8M,1.3M
